product_id,product_name,category,price,avg_rating,review_count,sentiment_score,top_review
PROD001,Thiệp Chúc Mừng Sinh Nhật,Thiệp,25000,4.5,128,0.89,Thiệp đẹp lắm rất dễ thương
PROD002,Thiệp Valentine,Thiệp,30000,4.7,95,0.92,Thiệp Valentine lung linh quá
PROD003,Thiệp Tết Nguyên Đán,Thiệp,35000,4.8,210,0.95,Thiệp Tết đậm chất truyền thống
PROD004,Hoa Hồng Virtual,Hoa,45000,4.9,342,0.97,Hoa hồng siêu thực rất đẹp
PROD005,Hoa Tulip AR,Hoa,50000,4.3,67,0.82,Hoa tulip nhìn ổn nhưng hơi đơn giản
PROD006,Bó Hoa Hướng Dương,Hoa,55000,4.6,89,0.88,Bó hoa rất tươi tắn vui mắt
PROD007,Gấu Bông AR,Thú Nhồi Bông,120000,4.8,256,0.94,Gấu bông cute phải chi có phiên bản lớn hơn
PROD008,Mèo May Mắn AR,Thú Nhồi Bông,95000,4.4,78,0.85,Mèo may mắn khá dễ thương
PROD009,Socola Virtual Box,Socola,65000,4.6,187,0.90,Hộp socola nom hấp dẫn cực kỳ
PROD010,Socola Heart Premium,Socola,85000,4.7,134,0.91,Socola trái tim thích hợp tặng người yêu
PROD011,Pháo Hoa 3D Effect,Hiệu Ứng,35000,4.5,198,0.87,Pháo hoa rất hoành tráng lung linh
PROD012,Confetti Rain Effect,Hiệu Ứng,25000,4.2,112,0.80,Confetti vui nhộn nhưng hơi ngắn
PROD013,Sparkle Glow Effect,Hiệu Ứng,30000,4.4,145,0.84,Hiệu ứng lấp lánh rất ảo diệu
PROD014,Vương Miện AR,Phụ Kiện,85000,4.3,56,0.81,Vương miện khá đẹp nhưng giá hơi cao
PROD015,Nhẫn AR Magic,Phụ Kiện,150000,4.9,89,0.96,Nhẫn AR siêu thực dùng cầu hôn luôn
PROD016,Bóng Bay Virtual,Trang Trí,15000,4.1,234,0.78,Bóng bay rẻ mà vui phết
PROD017,Banner Chúc Mừng,Trang Trí,20000,4.0,167,0.75,Banner đơn giản nhưng thực tế
PROD018,Đèn Lồng AR,Trang Trí,40000,4.6,98,0.88,Đèn lồng rất đẹp dịp Tết
PROD019,Bánh Kem Virtual 3D,Bánh,75000,4.7,156,0.92,Bánh kem 3D cực kỳ chi tiết
PROD020,Cupcake Dễ Thương,Bánh,35000,4.3,87,0.83,Cupcake nhỏ xinh đáng yêu
